id,happiness,survey_type,province,city,county,survey_time,gender,birth,nationality,religion,religion_freq,edu,edu_status,income,political,floor_area,property_0,property_1,property_2,property_3,property_4,property_5,property_6,property_7,property_8,height_cm,weight_jin,health,health_problem,depression,hukou,hukou_loc,media_1,media_2,media_3,media_4,media_5,media_6,leisure_1,leisure_2,leisure_3,leisure_4,leisure_5,leisure_6,leisure_7,leisure_8,leisure_9,leisure_10,leisure_11,leisure_12,socialize,relax,learn,social_neighbor,social_friend,socia_outing,equity,class,class_10_before,class_10_after,class_14,work_exper,insur_1,insur_2,insur_3,insur_4,family_income,family_m,family_status,house,car,invest_0,invest_1,invest_2,invest_3,invest_4,invest_5,invest_6,invest_7,invest_8,son,daughter,minor_child,marital,marital_1st,s_birth,s_edu,s_political,s_hukou,s_work_exper,f_edu,f_political,f_work_14,m_edu,m_political,m_work_14,status_peer,status_3_before,view,inc_ability,inc_exp,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,trust_10,trust_13,neighbor_familiarity,public_service_1,public_service_2,public_service_3,public_service_4,public_service_5,public_service_6,public_service_7,public_service_8,public_service_9,F,Z,q
1436,4,1,26,74,114,2015/8/10 10:04,1,51,1,1,3,4,4,50000,1,110,0,1,0,0,0,0,0,0,0,170,130,5,5,5,1,1,2,3,1,4,1,2,1,5,4,4,4,2,2,5,5,5,5,5,4,3,2,1,1,4,4,4,2,4,1,1,1,2,2,2,50000,2,3,2,1,0,1,0,0,0,0,0,0,0,1,1,2,3,36,52,1,1,1,6,1,1,3,1,1,2,2,2,4,2,10000,3,3,4,4,5,2,1,4,4,3,1,5,95,60,95,95,95,95,95,95,95,2,0,1
1437,1,2,2,4,11,2015/7/30 16:17,1,42,1,1,1,3,2,2000,1,50,0,1,1,0,0,0,0,0,0,150,102,2,2,2,1,1,1,1,1,4,1,1,1,5,5,5,5,4,4,5,5,5,5,5,1,1,1,3,3,1,2,1,1,1,1,3,1,1,2,2,2000,3,2,1,2,0,1,0,0,0,0,0,0,0,0,1,0,3,11,34,3,1,1,3,1,4,2,1,1,2,3,2,2,2,3000,5,5,5,5,5,5,4,5,5,5,3,5,80,80,2,25,80,80,2,60,80,0,0,-8
1438,3,1,19,57,91,2015/7/14 11:01,1,55,1,0,6,6,2,20000,1,49,0,1,1,0,0,0,0,0,0,165,128,3,5,5,5,2,4,1,1,4,2,1,1,5,1,1,5,1,4,5,1,5,5,2,3,5,5,7,3,1,3,5,4,5,5,5,1,1,2,2,50000,2,2,2,2,0,1,0,0,0,0,0,0,0,1,0,0,3,29,54,6,1,5,5,3,1,1,1,1,1,3,1,4,3,50000,5,3,4,4,5,5,4,4,3,4,1,4,70,70,70,70,70,70,70,70,70,1,0,-1
1439,4,1,10,25,47,2015/7/26 9:05,1,41,1,1,1,6,4,100000,1,100,0,1,1,0,0,0,0,0,0,182,170,5,4,4,1,1,3,3,3,4,4,3,1,4,2,3,2,2,3,1,1,4,5,2,4,4,4,4,4,1,4,5,4,6,3,4,1,1,2,2,100000,3,3,2,1,0,0,0,0,0,1,0,0,0,1,0,1,3,17,41,4,1,1,3,3,4,1,3,1,2,2,1,4,2,200000,3,3,3,3,4,3,3,3,3,3,3,3,80,90,70,80,70,80,70,80,70,1,1,0
1440,3,1,16,47,79,2015/7/24 17:09,1,62,1,1,1,1,1,20000,1,100,0,1,0,0,0,0,0,0,0,167,110,4,4,4,1,1,3,3,3,4,2,2,1,4,3,3,3,3,3,3,2,5,5,4,4,4,3,1,1,1,4,5,4,6,4,3,1,1,2,2,60000,1,3,1,2,0,1,0,0,0,0,0,0,0,2,0,0,3,0,49,1,1,1,4,1,1,2,1,1,2,2,2,4,2,100000,4,4,4,4,4,4,4,3,3,2,2,4,8,7,8,6,7,8,8,8,7,1,1,-13
1441,3,1,1,1,4,2015/8/28 15:16,2,41,1,1,1,6,4,24240,1,64,0,0,1,0,0,1,0,0,0,160,116,4,5,5,2,1,4,4,3,4,5,4,1,4,4,2,4,4,4,1,3,5,4,1,4,4,3,4,4,2,3,6,4,6,4,1,1,1,2,2,96240,3,3,1,2,0,1,0,0,0,0,0,0,0,1,0,1,3,14,52,10,4,2,1,3,1,2,3,1,2,3,2,3,3,60000,3,3,3,3,4,3,2,3,3,3,1,3,75,70,70,65,65,70,60,65,70,2,0,-11
1442,2,1,16,45,76,2015/7/26 10:53,1,51,1,1,1,3,4,55000,1,110,0,1,0,0,0,0,0,0,0,169,154,4,4,5,4,1,1,1,1,5,1,2,1,5,1,5,5,4,4,5,5,5,5,5,5,3,1,1,1,1,5,5,5,6,2,2,2,2,2,2,60000,6,3,1,2,0,1,0,0,0,0,0,0,0,1,2,3,3,30,52,6,1,1,4,3,1,6,3,1,2,2,3,2,1,60000,5,5,4,4,5,5,2,5,5,3,1,5,70,70,70,60,60,60,70,70,70,0,1,1
1443,3,1,10,27,50,2015/7/26 16:14,2,38,1,1,1,4,4,10000,1,300,0,0,1,0,0,0,0,0,0,159,110,3,5,5,1,1,2,3,2,3,3,3,2,5,3,3,5,4,4,2,5,5,4,2,3,3,3,7,7,1,4,5,5,8,5,1,1,2,2,2,50000,3,3,1,2,0,1,0,0,0,0,0,0,0,1,0,1,3,14,36,4,1,1,1,4,1,1,3,1,12,3,2,3,2,30000,5,5,4,4,5,5,2,5,5,4,2,4,100,80,90,80,50,70,80,80,90,0,3,2
1444,3,1,23,69,109,2015/9/24 8:34,2,41,1,1,1,3,4,14000,1,20,0,0,0,0,0,0,0,0,1,160,120,2,3,4,1,1,2,1,3,4,3,1,2,5,2,4,5,3,5,2,5,5,1,1,3,2,2,7,6,2,2,4,1,7,1,6,1,2,2,2,22000,4,3,1,2,0,1,0,0,0,0,0,0,0,1,1,0,2,23,46,3,1,1,1,3,1,12,1,1,12,3,2,4,3,50000,5,4,4,4,4,4,2,4,4,2,2,4,100,80,30,30,50,60,60,60,60,3,3,-5
1445,3,1,5,8,23,2015/8/1 13:33,1,47,1,1,1,7,4,20000,1,48,0,1,0,0,0,0,0,0,0,174,140,4,3,4,2,2,3,3,3,4,4,2,2,4,4,2,4,3,3,3,1,5,5,1,2,3,2,6,5,1,4,3,3,4,3,1,1,2,2,2,50000,3,2,1,2,0,1,0,0,0,0,0,0,0,0,1,0,3,24,48,4,1,2,1,12,1,16,3,1,1,3,2,3,3,50000,3,3,2,2,4,4,2,3,3,2,2,4,70,60,60,70,60,70,70,60,70,0,1,1
1446,4,2,18,54,88,2015/7/13 14:00,2,33,1,1,1,4,4,0,1,240,0,0,1,0,0,0,0,0,0,157,100,5,5,5,1,1,1,1,1,5,4,4,1,5,2,5,5,4,4,3,5,5,5,2,5,3,2,1,1,3,2,5,4,6,4,3,1,2,2,2,50000,3,3,1,2,0,1,0,0,0,0,0,0,0,2,0,2,3,11,38,4,1,1,3,3,1,2,3,1,2,2,1,4,2,70000,4,4,4,4,5,4,3,3,3,3,2,1,70,80,65,70,75,86,70,80,78,1,1,-5
1447,3,2,2,2,9,2015/7/23 9:23,1,54,8,1,1,6,4,15000,1,230,0,1,0,0,0,0,0,0,0,170,144,3,4,2,1,1,1,2,1,4,3,1,1,5,3,3,5,4,3,2,5,5,4,2,2,4,2,3,3,4,4,2,4,2,6,2,1,1,2,2,100000,2,2,1,2,0,1,0,0,0,0,0,0,0,1,2,0,7,33,54,4,0,1,3,3,1,2,1,4,2,3,3,4,2,50000,4,4,4,4,5,4,4,5,3,4,2,5,8,8,5,7,5,5,7,5,7,-2,0,0
1448,3,1,11,31,54,2015/7/22 17:28,2,26,1,1,1,11,4,40000,1,100,0,0,1,0,0,0,0,0,0,166,113,4,5,5,2,1,1,1,3,4,5,1,1,5,5,5,5,5,4,4,5,5,5,5,2,2,2,7,5,1,4,2,1,4,1,1,1,1,2,2,80000,2,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,3,2,28,12,1,2,1,6,1,5,6,1,15,2,1,4,2,100000,4,2,4,2,3,2,2,4,2,3,1,4,80,79,70,80,90,70,80,90,70,1,2,-2
1449,3,2,10,28,51,2015/7/28 14:00,2,89,1,1,1,1,1,960,1,80,0,1,0,0,0,0,0,0,0,165,120,4,4,4,1,1,1,1,1,5,1,1,1,5,4,5,5,2,4,5,4,5,5,5,3,4,1,2,5,1,4,5,3,6,1,4,1,1,2,2,960,1,2,1,2,0,1,0,0,0,0,0,0,0,4,2,0,7,69,89,4,0,1,3,2,1,2,2,1,2,2,1,4,3,2000,4,4,4,4,5,3,3,4,4,3,3,3,80,85,70,75,80,75,80,85,70,2,1,0
1450,1,1,18,53,87,2015/7/16 15:26,2,29,1,1,1,3,4,0,1,80,0,0,0,0,0,0,0,0,1,162,95,2,2,2,1,2,2,2,2,3,4,2,2,4,3,3,4,3,3,1,3,5,3,1,2,2,2,5,3,1,4,1,1,1,1,4,1,2,2,2,60000,3,2,1,2,0,1,0,0,0,0,0,0,0,1,0,1,3,11,34,4,1,1,1,1,1,2,1,1,2,3,2,4,3,50000,2,2,2,2,4,2,2,3,3,3,3,3,50,10,10,40,50,50,10,20,20,0,0,-5
1451,3,1,15,41,72,2015/7/16 14:22,2,47,1,1,1,4,4,0,1,112,0,1,0,0,0,0,0,0,0,160,160,5,5,5,2,1,1,1,1,5,3,1,1,5,2,5,5,5,3,1,5,5,5,1,4,1,1,1,7,1,2,5,5,7,4,5,1,1,2,2,100000,4,3,1,1,0,1,0,0,0,0,0,0,0,1,1,1,3,27,46,4,1,2,1,7,4,1,3,1,15,2,1,5,2,30000,3,3,4,4,5,5,2,5,4,4,1,5,100,0,0,0,0,0,0,0,50,0,2,1
1452,4,1,15,40,71,2015/7/10 17:19,2,52,1,1,3,6,4,10800,1,69,0,0,0,0,0,0,0,0,1,160,112,3,4,3,1,1,1,1,4,5,1,1,1,5,1,5,5,3,1,5,1,5,5,5,3,4,1,5,6,2,4,5,5,6,4,5,1,1,2,2,87000,3,3,1,2,0,1,0,0,0,0,0,0,0,1,0,0,3,28,63,10,1,2,5,3,1,1,1,1,2,2,1,3,3,30000,4,3,4,3,5,4,5,3,4,3,3,5,90,80,90,98,91,88,85,86,77,0,1,-11
1453,1,1,30,85,128,2015/10/5 10:04,1,36,1,1,1,11,1,50000,4,100,0,1,0,0,0,0,0,0,0,171,130,3,5,5,2,1,1,1,1,2,5,1,4,3,4,5,4,4,3,2,2,5,5,1,1,4,2,3,3,1,2,5,6,6,4,1,1,1,2,2,50000,2,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,3,3,33,10,1,2,6,7,4,4,3,1,4,2,2,5,3,100000,2,2,4,4,4,2,2,4,2,3,1,1,70,60,70,75,70,60,70,75,80,-1,1,-3
1454,4,1,31,86,129,2015/8/17 15:12,1,59,1,1,1,6,4,16800,1,97,0,1,1,0,0,0,0,0,0,174,180,1,2,4,2,1,1,1,5,5,1,1,1,5,5,5,5,5,4,2,5,5,5,5,1,3,1,3,3,1,5,7,7,8,4,5,1,2,2,2,11000,2,1,1,2,0,1,0,0,0,0,0,0,0,2,1,0,3,36,60,3,1,2,6,1,1,2,1,1,2,2,2,4,1,15000,5,5,4,4,5,5,1,1,1,3,1,1,80,90,80,90,90,90,95,95,100,0,1,1
1455,2,2,21,64,100,2015/7/18 16:49,2,59,1,1,1,6,4,4000,1,200,0,1,1,0,0,0,0,0,0,160,100,3,3,4,2,2,2,1,4,4,1,1,1,5,4,4,5,4,4,4,2,5,4,5,3,3,2,4,3,1,4,5,3,5,2,4,1,1,2,2,10000,3,3,1,2,0,1,0,0,0,0,0,0,0,0,2,0,3,17,62,6,4,4,5,2,1,2,1,1,2,2,3,4,2,40000,4,4,4,4,5,4,3,4,4,3,3,5,90,85,70,70,80,85,85,85,85,2,0,-3
1456,3,1,29,82,125,2015/7/22 19:25,2,28,1,1,1,9,4,48000,2,78,0,0,0,0,1,0,0,0,0,160,90,4,3,4,2,2,2,2,2,4,5,5,2,4,3,4,5,4,3,3,2,5,3,1,3,3,4,5,3,2,4,5,4,7,4,1,1,1,2,2,90000,3,3,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,28,4,0,1,3,4,1,5,5,1,5,2,2,2,3,100000,2,2,2,2,3,2,2,4,3,2,1,2,60,60,70,60,60,70,70,70,80,1,2,0
1457,3,1,9,22,44,2015/7/7 11:05,1,51,1,1,1,3,2,18000,1,200,0,1,0,0,0,0,0,0,0,169,160,4,5,4,4,1,1,1,1,5,1,1,1,5,3,5,5,4,5,5,2,5,5,5,2,4,1,1,6,1,1,5,6,6,3,1,1,1,2,2,66000,5,2,2,2,0,1,0,0,0,0,0,0,0,2,0,0,3,26,51,1,1,4,6,1,1,2,1,1,2,3,3,2,2,30000,3,3,2,2,4,3,4,3,4,4,3,5,70,80,80,80,70,70,70,90,80,-1,1,0
1458,4,2,31,86,129,2015/8/18 8:12,2,68,1,1,1,3,2,0,1,42,0,1,0,0,0,0,0,0,0,156,125,3,1,5,1,1,1,1,1,5,1,1,1,5,2,1,5,5,5,5,1,5,5,5,5,2,1,1,3,1,4,5,4,5,3,4,1,2,2,2,40000,1,3,1,2,0,1,0,0,0,0,0,0,0,2,1,0,7,49,68,4,0,1,3,1,1,2,1,1,15,2,2,4,2,50000,4,4,4,4,5,4,5,4,4,4,1,5,80,70,70,70,70,70,70,70,70,1,0,0
1459,3,1,5,8,24,2015/8/3 9:44,2,30,1,1,1,6,4,0,1,102,1,0,0,0,0,0,0,0,0,158,100,4,4,4,2,1,3,3,3,3,3,2,2,3,4,3,4,5,4,3,3,4,3,4,3,3,4,3,1,2,5,5,5,7,5,6,1,1,2,2,200000,1,3,1,2,0,1,0,0,0,0,0,0,0,1,0,1,3,4,35,4,1,2,1,3,1,2,6,1,2,2,2,3,2,80000,4,4,3,2,2,1,2,4,3,3,4,3,89,80,80,80,78,89,89,89,96,0,2,-5
1460,1,2,28,81,121,2015/8/1 10:37,2,77,1,1,2,1,1,0,1,80,0,1,0,0,0,0,0,0,0,145,74,2,2,2,1,1,1,1,1,4,1,1,1,5,5,5,5,5,5,5,5,5,5,5,3,3,1,4,4,1,4,3,3,5,2,4,1,1,2,2,20000,6,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0,3,59,79,1,1,1,4,1,1,2,1,1,2,3,2,3,2,50000,4,4,4,4,4,4,4,4,4,4,3,5,90,90,90,90,90,90,90,90,90,0,2,-2
1461,3,2,5,9,25,2015/8/5 10:12,1,56,1,1,1,3,4,7000,1,100,0,1,0,0,0,0,0,0,0,172,140,2,2,2,1,1,1,1,1,5,1,1,1,5,5,5,5,4,4,5,5,5,5,5,1,4,1,3,3,1,4,1,4,3,4,4,1,1,2,2,20000,3,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,3,31,52,3,1,1,3,3,1,2,1,1,2,3,3,5,2,20000,5,5,5,5,5,4,5,5,4,3,3,5,70,70,70,70,70,70,80,80,80,-3,2,-4
1462,3,2,16,47,79,2015/7/26 15:09,1,49,1,1,1,4,2,20000,1,210,0,1,1,0,0,0,0,0,0,165,130,3,4,4,1,1,1,1,1,4,1,1,1,5,4,5,5,4,5,5,5,5,5,5,2,2,1,4,4,1,4,5,2,6,3,3,1,1,2,2,30000,8,2,1,2,0,1,0,0,0,0,0,0,0,1,1,1,3,26,44,3,1,1,1,1,1,2,1,1,2,3,1,2,3,65000,4,4,4,4,4,4,2,4,3,3,1,5,90,90,90,90,70,90,90,25,80,3,1,-5
1463,3,1,1,1,4,2015/9/2 9:43,2,49,1,1,1,4,4,13200,1,84,0,0,0,0,0,0,0,0,1,165,160,3,4,4,2,2,3,3,3,3,2,1,1,4,4,4,4,4,4,4,4,4,4,4,3,3,1,2,2,1,4,5,5,5,5,5,1,1,2,2,13200,1,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,6,26,49,4,0,1,3,3,1,6,3,1,6,3,3,2,3,500000,4,4,3,3,4,4,3,4,3,3,3,4,90,85,80,86,87,85,85,85,85,0,0,0
1464,3,1,5,11,27,2015/7/27 14:52,1,52,1,1,1,4,4,20000,1,60,0,1,0,0,0,0,0,0,0,165,130,5,5,4,2,1,2,3,2,4,4,1,1,5,5,5,5,4,4,5,5,5,5,2,2,4,2,6,5,1,1,1,1,5,1,1,1,1,2,2,40000,3,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,3,27,51,4,1,2,1,1,1,1,1,1,16,2,3,2,3,70000,3,1,4,4,4,3,3,4,3,3,1,4,70,30,80,70,40,60,60,60,60,0,4,-1
1465,4,1,30,85,128,2015/10/4 9:25,1,82,1,1,1,4,4,58000,4,44,0,0,0,1,0,0,0,0,0,175,126,4,5,5,2,3,5,1,1,5,1,1,1,5,4,1,5,3,5,5,2,5,5,5,2,4,2,6,7,5,4,4,6,3,5,5,1,1,2,2,72000,2,3,5,1,0,1,0,0,0,0,0,0,0,2,2,0,3,58,75,4,1,2,5,3,1,16,1,1,16,2,3,5,2,60000,2,3,5,4,5,4,4,4,4,4,2,2,80,80,60,80,75,90,85,75,80,-2,-1,-7
1466,3,2,18,51,84,2015/7/28 10:44,2,44,1,1,1,4,4,10000,1,150,0,0,1,0,0,0,0,0,0,165,110,5,5,5,1,1,1,1,1,5,1,1,1,5,3,4,5,4,4,1,3,5,5,5,3,4,2,2,3,1,4,5,3,7,2,3,1,1,2,2,50000,2,3,1,2,0,1,0,0,0,0,0,0,0,1,1,1,3,0,46,4,1,1,1,3,1,2,1,1,2,3,1,4,2,20000,5,3,4,4,5,4,3,5,4,3,2,5,60,65,50,70,60,70,70,60,50,2,2,-2
1467,3,2,9,21,43,2015/7/6 11:02,1,54,1,1,1,3,3,10000,1,140,0,1,1,0,0,0,0,0,0,170,125,4,4,4,1,1,1,1,1,4,1,3,1,5,4,5,5,4,4,3,4,5,3,5,2,3,1,2,2,1,2,6,3,8,4,3,1,1,2,2,20000,2,2,1,2,0,1,0,0,0,0,0,0,0,0,3,0,3,31,53,3,1,1,3,1,1,2,1,1,2,3,1,3,2,30000,4,4,4,4,4,3,3,4,4,3,2,4,70,80,80,75,75,90,80,80,75,3,2,-1
1468,2,1,4,7,21,2015/9/26 14:22,2,27,1,1,2,6,4,70000,1,65,0,0,0,0,0,0,0,0,1,162,116,3,2,1,1,3,1,3,2,2,4,1,2,4,3,5,4,4,3,3,5,5,4,1,1,1,3,3,3,2,3,5,1,7,4,1,2,2,2,2,80000,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,27,4,0,1,3,3,1,9,3,1,5,2,1,5,2,120000,3,3,3,3,3,3,3,3,3,3,2,1,80,20,20,70,80,60,80,80,30,4,2,0
1469,3,1,22,66,105,2015/7/8 9:12,1,33,1,1,1,4,4,40000,1,180,0,1,0,0,0,0,0,0,0,176,125,4,5,5,1,1,2,2,1,3,5,1,3,5,3,4,5,3,4,1,4,5,5,1,3,5,3,1,6,2,2,5,1,10,1,1,1,1,2,2,40000,1,3,1,1,0,1,0,0,0,0,0,0,0,1,1,2,3,11,31,6,4,1,1,3,4,3,3,1,3,3,1,4,3,100000,3,3,3,3,3,3,2,3,2,2,1,3,40,40,30,30,30,30,60,60,60,4,5,-2
1470,3,1,1,1,5,2015/9/10 16:13,2,78,1,1,1,12,4,60000,1,210,0,1,1,0,0,0,0,0,0,155,110,3,4,4,2,1,5,3,4,4,4,3,1,4,2,1,4,3,3,3,2,5,5,1,3,3,3,4,4,2,4,6,6,6,4,5,1,1,2,2,80000,2,3,1,2,0,1,0,0,0,0,0,0,0,0,1,1,3,56,77,12,1,2,5,3,1,1,1,1,1,2,2,3,3,50000,3,3,3,3,3,3,3,3,3,3,3,3,70,70,70,70,70,70,70,60,70,0,0,1
1471,3,1,15,41,72,2015/7/17 19:44,2,46,1,1,1,6,4,20000,1,106,0,0,0,0,0,1,0,0,0,165,114,5,5,5,2,2,1,2,1,5,5,5,1,5,3,3,5,3,2,2,3,5,5,1,3,3,2,6,3,1,2,7,7,8,5,1,1,1,2,2,50000,2,4,1,1,0,0,1,0,0,0,0,0,0,0,1,0,3,27,51,10,4,2,1,1,4,1,1,1,1,2,2,4,3,40000,4,3,5,5,5,5,3,3,3,3,2,4,50,50,40,50,50,50,40,50,50,0,1,-5
1472,2,1,2,2,9,2015/7/24 12:34,1,62,8,1,1,6,4,46000,1,460,0,1,0,0,0,0,0,0,0,172,172,3,3,4,2,1,1,1,1,5,4,3,1,5,4,5,5,4,4,2,5,5,5,1,2,2,3,6,6,1,1,5,4,4,3,1,2,1,1,1,80000,3,3,1,2,0,1,0,0,0,0,0,0,0,0,1,0,3,35,61,7,1,2,5,4,4,1,3,1,1,2,1,4,3,200000,3,3,3,3,4,4,3,4,3,3,1,3,60,60,40,60,70,50,60,60,70,1,-1,-1
1473,3,2,17,48,81,2015/7/26 15:04,1,26,1,1,1,7,4,20000,1,60,0,0,0,0,1,0,0,0,0,172,170,4,5,2,1,1,1,1,1,3,5,3,3,4,3,4,5,4,3,2,5,5,5,1,3,4,2,3,3,2,3,3,3,7,3,1,1,2,2,2,30000,2,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,26,4,0,1,3,3,1,2,1,1,13,3,2,4,2,40000,5,4,5,4,5,4,4,5,4,4,1,5,95,95,85,85,85,85,95,95,95,0,4,0
1474,3,1,26,74,114,2015/8/10 10:44,1,37,1,1,1,6,4,20000,1,100,0,0,0,0,0,0,0,0,1,170,120,4,3,5,1,1,1,1,1,4,4,1,1,4,3,1,1,4,4,5,5,4,5,1,4,4,1,2,3,5,4,2,4,3,4,1,1,1,2,2,20000,3,3,1,2,0,1,0,0,0,0,0,0,0,1,0,1,3,5,37,4,1,1,4,3,1,2,1,1,2,2,1,3,2,50000,2,2,3,2,2,2,3,1,2,3,1,5,50,60,50,80,70,70,60,50,70,-2,1,0
1475,3,1,10,26,48,2015/7/27 10:10,2,58,1,1,1,9,4,60000,1,100,0,1,0,0,0,0,0,0,0,160,110,4,4,4,2,1,2,3,3,5,4,2,2,3,3,3,3,4,3,3,3,4,3,3,3,4,4,2,3,2,4,5,4,6,6,5,1,1,2,2,13000,2,3,1,2,0,1,0,0,0,0,0,0,0,1,0,0,3,33,59,9,4,2,5,9,4,1,3,1,2,2,2,4,2,100000,3,3,4,4,4,4,3,4,4,4,3,3,88,90,88,87,90,90,90,90,88,1,1,-1
1476,3,1,27,80,120,2015/7/29 18:03,1,79,8,1,1,3,4,0,1,64,0,0,0,1,0,0,0,0,0,165,120,3,4,3,1,2,4,1,1,5,1,1,1,5,2,2,4,4,4,3,1,5,5,5,4,4,3,3,5,2,2,2,1,2,1,5,1,1,2,2,40000,2,2,1,2,0,1,0,0,0,0,0,0,0,2,2,0,3,57,76,3,1,1,4,1,1,2,1,1,2,2,3,4,2,50000,4,3,3,2,5,3,2,3,3,3,1,4,60,60,70,70,60,60,60,60,70,1,0,-3
1477,3,1,13,36,67,2015/9/12 10:32,1,41,1,1,1,7,4,100000,1,137,0,1,1,0,0,0,0,0,0,171,130,5,4,4,1,3,2,2,2,5,5,1,1,4,4,3,4,3,3,4,4,5,5,1,4,3,3,2,2,3,4,5,1,7,1,1,1,1,2,2,150000,4,3,4,1,0,1,0,0,0,0,0,0,0,1,1,2,3,18,41,10,1,1,1,3,1,2,1,1,2,1,1,5,2,100000,5,3,5,4,5,4,3,4,3,4,3,4,60,40,70,60,50,60,70,60,60,4,2,0
1478,3,1,30,85,128,2015/10/2 15:49,1,62,4,0,4,4,4,36000,1,60,0,0,0,0,1,0,0,0,0,170,140,4,3,3,2,2,3,3,2,4,1,1,2,5,2,2,4,4,4,4,1,4,5,5,3,5,3,5,5,1,5,6,3,6,4,5,1,2,2,2,36000,1,2,0,2,0,1,0,0,0,0,0,0,0,2,0,0,6,37,62,4,0,1,3,4,1,2,2,1,2,2,2,4,2,50000,4,4,4,4,5,4,3,4,2,2,3,4,100,80,80,80,80,80,80,100,100,3,0,0
1479,2,2,6,13,29,2015/8/6 15:07,1,74,1,1,1,4,4,7000,1,120,0,1,0,0,0,0,0,0,0,160,110,3,3,3,1,1,2,2,2,4,1,1,2,4,3,4,4,4,4,4,4,4,4,5,3,3,3,3,3,2,3,3,2,3,3,4,1,2,2,2,20000,1,2,1,2,0,1,0,0,0,0,0,0,0,3,0,0,3,51,70,1,1,1,4,4,4,1,1,1,2,3,2,3,2,10000,3,2,3,3,3,3,3,3,3,3,3,3,80,80,80,80,70,80,90,80,80,1,0,-4
1480,4,2,5,8,24,2015/8/5 9:24,1,39,1,1,1,3,4,30000,1,100,0,0,0,0,1,0,0,0,0,172,160,5,5,5,1,1,3,3,1,5,5,1,1,5,4,3,5,3,3,2,1,5,4,2,4,3,1,2,2,2,4,5,3,7,5,2,1,1,2,2,30000,4,3,1,2,0,1,0,0,0,0,0,0,0,0,1,1,3,26,37,4,1,1,3,4,1,2,1,1,2,2,1,4,2,100000,5,4,4,4,5,5,4,4,4,3,1,5,90,80,70,80,90,80,70,70,70,2,2,-2
1481,3,2,6,17,33,2015/8/5 8:07,2,58,1,1,1,6,4,0,1,120,0,0,1,0,0,0,0,0,0,160,140,4,3,4,1,1,1,1,1,4,1,1,1,5,2,5,5,4,5,5,3,5,5,5,4,4,1,1,6,1,4,5,4,6,3,4,1,2,2,2,40000,2,3,1,2,0,1,0,0,0,0,0,0,0,2,0,0,3,36,56,6,1,1,1,1,1,2,1,1,2,2,2,4,2,50000,5,5,5,5,4,4,3,3,3,3,2,4,80,80,80,75,75,80,80,80,80,1,1,2
1482,3,2,22,67,107,2015/7/5 14:22,1,67,1,1,3,3,4,10000,1,50,0,0,0,1,0,0,0,0,0,167,110,4,5,3,1,1,2,1,1,5,1,1,1,4,2,3,5,5,4,5,5,5,5,5,2,2,2,2,5,1,4,5,6,4,2,2,1,1,2,2,20000,5,3,0,2,0,1,0,0,0,0,0,0,0,2,0,0,3,42,62,3,1,1,6,3,1,2,1,1,2,3,2,4,2,20000,5,4,4,3,5,5,4,3,4,3,1,5,50,50,50,40,60,50,30,0,0,-1,-1,-5
1483,3,2,28,81,123,2015/7/31 11:22,1,69,1,1,1,4,2,5000,1,110,0,1,1,0,0,0,0,0,0,164,110,4,3,3,1,1,2,2,1,5,1,2,1,5,3,4,5,3,3,5,2,5,4,5,3,4,2,2,3,2,4,7,3,7,2,2,1,1,2,2,10000,2,3,1,2,0,1,0,0,0,0,0,0,0,1,6,0,3,47,67,1,1,1,4,12,1,1,1,1,2,2,1,3,2,10000,4,4,4,4,4,4,4,4,4,4,2,4,80,70,60,70,60,70,80,80,70,4,0,-2
1484,3,1,10,27,50,2015/7/27 18:04,2,19,1,1,1,6,4,0,2,90,0,0,0,0,1,0,0,0,0,165,120,5,5,5,1,1,2,2,1,2,2,1,4,4,4,3,5,4,3,3,2,5,5,3,2,3,5,5,4,1,4,4,4,7,4,6,1,2,2,2,100000,2,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,19,4,0,1,3,4,1,9,4,1,7,2,2,4,2,120000,4,3,3,3,5,4,3,5,4,4,3,3,90,90,90,80,80,90,90,90,80,0,3,0
1485,3,1,16,44,75,2015/7/26 13:43,1,56,1,1,1,4,4,30000,1,200,0,1,0,0,0,0,0,0,0,170,130,4,5,5,2,1,1,1,1,4,1,1,1,5,5,1,1,3,3,2,5,5,5,5,2,3,1,2,3,1,4,5,3,6,5,1,1,1,2,2,60000,4,3,2,2,0,1,0,0,0,0,0,0,0,2,0,0,3,35,54,3,1,2,5,1,4,1,1,1,15,3,2,3,2,50000,4,4,4,4,5,4,3,3,4,4,2,4,95,90,90,90,90,80,90,90,90,2,1,-2
